whisper_model,Filename,Average NUBIA Score
base,bitnet_b1_58_large,0.12575969024087374
base,Llama3-8B-Q4_K_M,0.18141457030095365
base,llama3_8B,0.20311107573805431
base,Llama-32-1B_Q8_0,0.13198698002033035
base,gemma2_Q4_K_M,0.19697907972844367
base,Llama-32-1B_Q4_K_M,0.2077996885841733
base,phi-3,0.161928716173338
base,Llama-32-1B,0.18939068276304633
base,Llama-32-3B_Q2_K,0.2431621961535823
base,phi-3-Q8_0,0.1790624095774987
base,Llama3-8B,0.15225348834057711
base,gemma2_Q2_K,0.17328826294746474
base,gemma2_Q8_0,0.19251836700127065
base,Llama3-8B-Q8_0,0.1951285347946049
base,Llama-32-3B_Q4_K_M,0.17270912287247886
base,Llama-32-1B_Q2_K,0.2562559298486083
base,Llama-32-3B_Q8_0,0.16222656770333047
base,phi-3-Q4_K_M,0.12701809115809976
base,Llama3-8B-Q2_k,0.188521389762316
base,Llama-32-3B,0.2057146231180429
base,phi-3-Q2_k,0.24161738146998626
base,gemma2,0.2053035124981527
small,Llama-32-1B,0.1887998122412559
small,phi-3-Q4_K_M,0.18770689204739283
small,gemma2_Q4_K_M,0.21128290895514235
small,Llama3-8B-Q4_K_M,0.22326582533382017
small,phi-3,0.23657451897659612
small,gemma2,0.19259645089568742
small,Llama-32-1B_Q2_K,0.19360045825098615
small,Llama-32-3B_Q2_K,0.1814035650256819
small,llama3_8B,0.2793425927042097
small,gemma2_Q2_K,0.20456515082013285
small,Llama3-8B-Q2_k,0.190228554124543
small,phi-3-Q2_k,0.2580038856235911
small,gemma2_Q8_0,0.17608122556860328
small,phi-3-Q8_0,0.22106371658373924
small,Llama-32-3B_Q8_0,0.18170235951900543
small,bitnet_b1_58_large,0.14811357785897386
small,Llama-32-3B,0.18649369884218425
small,Llama-32-1B_Q4_K_M,0.18907692484312172
small,Llama-32-1B_Q8_0,0.1995783132373567
small,Llama3-8B,0.22906136438554756
small,Llama-32-3B_Q4_K_M,0.20016648724941058
small,Llama3-8B-Q8_0,0.1971885400322358
tiny,Llama3-8B-Q2_k,0.2269030632191034
tiny,Llama-32-1B,0.17232417615210233
tiny,bitnet_b1_58_large,0.23236981924081088
tiny,Llama-32-3B_Q8_0,0.16449011217511325
tiny,Llama-32-1B_Q4_K_M,0.18725928125713703
tiny,phi-3-Q8_0,0.14836258149951861
tiny,gemma2_Q2_K,0.2561861879820132
tiny,gemma2_Q4_K_M,0.2773314886055908
tiny,llama3_8B,0.19205823656611343
tiny,Llama-32-3B_Q2_K,0.28880978265280977
tiny,phi-3-Q4_K_M,0.1446240975360228
tiny,Llama3-8B,0.15334445606307634
tiny,Llama3-8B-Q8_0,0.14790997324307828
tiny,phi-3-Q2_k,0.2938261155818533
tiny,gemma2_Q8_0,0.24668628473624216
tiny,Llama-32-1B_Q2_K,0.19123119480912057
tiny,phi-3,0.12227224526393822
tiny,Llama-32-1B_Q8_0,0.1820321943673919
tiny,Llama-32-3B,0.18413166683511262
tiny,Llama3-8B-Q4_K_M,0.15675912444903478
tiny,gemma2,0.2820376139503413
tiny,Llama-32-3B_Q4_K_M,0.1905369338995368
medium,Llama3-8B,0.21903902506082085
medium,Llama3-8B-Q2_k,0.1711765311411315
medium,gemma2_Q8_0,0.22297513801334343
medium,bitnet_b1_58_large,0.16516475166932773
medium,Llama-32-3B,0.2370444198321339
medium,phi-3-Q8_0,0.2915035255271701
medium,Llama-32-3B_Q8_0,0.1934573362983279
medium,gemma2,0.25860320377395896
medium,gemma2_Q2_K,0.200480942501571
medium,llama3_8B,0.3242561755257875
medium,Llama-32-1B_Q8_0,0.2798112191368311
medium,Llama3-8B-Q8_0,0.2175349514425009
medium,Llama-32-1B_Q4_K_M,0.23562202345859426
medium,Llama-32-3B_Q2_K,0.25127764253657126
medium,gemma2_Q4_K_M,0.2146247871588175
medium,phi-3-Q4_K_M,0.2735905515910003
medium,phi-3-Q2_k,0.26720180275609473
medium,Llama-32-1B,0.23159168038767208
medium,Llama-32-3B_Q4_K_M,0.22739473356827442
medium,Llama3-8B-Q4_K_M,0.1825638665158713
medium,phi-3,0.26752338647849655
medium,Llama-32-1B_Q2_K,0.24763755505138463
