Model,Avg Transcription Time,Avg Words per Second,Avg Inference Time,Avg Tokens per Second,Avg Overall Time,Avg Other Data Processing Time,Model Type
Llama3-8B-1.58-100B-tokens,55.370488,2.457795,64.916054,3.044224,120.286747,0.000208,Tiny
Llama-3.2-1B_Q4_K_M,47.220775,2.709223,18.664365,9.601336,65.885308,0.000167,Tiny
gemma2,57.555,2.65989,74.929682,2.706648,132.483786,0.000214,Tiny
Llama-3.2-3B_Q2_K,40.367625,3.019974,56.019533,3.173,96.387735,0.000578,Tiny
llama3.2-8B,44.982671,2.874225,1315.347833,0.153339,1360.331001,0.000492,Tiny
gemma2_Q4_K_M,57.759,2.649728,41.617309,4.882048,99.3754,0.000213,Tiny
Llama-3.2-3B_Q8_0,41.270244,2.953149,55.942337,3.174,97.212829,0.000248,Tiny
phi-3-Q4_K_M,54.320751,2.487102,81.784264,2.303976,136.105205,0.000191,Tiny
Llama3-8B-1.58-100B-tokens,9.478994,14.570413,64.189938,3.104089,73.669142,0.000208,Small
Llama-3.2-3B_Q8_0,8.388361,14.555083,54.317887,3.282,62.706425,0.000178,Small
llama3.2-8B_Q2_K,7.105622,17.671058,116.256027,1.557199,123.36222,0.000571,Small
Llama-3.2-1B_Q2_K,8.470566,14.972734,20.167831,8.882347,28.638594,0.000199,Small
llama3.2-8B,7.102091,17.63316,1407.112652,0.14693,1414.215239,0.000497,Small
llama3.2-8B_Q8_0,8.527814,14.701841,752.443798,0.334247,760.9718,0.000189,Small
gemma2_Q8_0,10.577,14.611488,43.816469,4.730234,54.394439,0.000255,Small
Llama-3.2-3B_Q2_K,7.945329,15.402976,54.789721,3.308,62.735596,0.000546,Small
Llama-3.2-3B,8.477538,14.426944,266.000614,0.838,274.478346,0.000194,Small
gemma2_Q2_K,10.693,14.440091,46.445788,4.323902,57.138977,0.000212,Small
gemma2_Q4_K_M,10.651,14.505033,40.857549,5.007134,51.506132,0.000211,Small
Llama-3.2-1B,8.573801,14.784912,27.718569,6.381604,36.292543,0.00017,Small
bitnet_b1_58-large,9.707809,14.20125,8.906053,21.61714,18.614046,0.00018,Small
phi-3-Q2_k,7.651652,17.815029,74.988607,2.269204,82.640771,0.000514,Small
llama3.2-8B_Q4_k_M,8.490202,14.7344,109.566667,1.608585,118.057067,0.000199,Small
phi-3,9.557471,14.2599,935.905079,0.20258,945.462751,0.000201,Small
phi-3-Q8_0,9.523994,14.269923,80.190904,2.368389,89.715097,0.000201,Small
Llama-3.2-3B_Q4_K_M,8.437351,14.509681,50.302061,3.568,58.739612,0.000202,Small
Llama-3.2-1B_Q4_K_M,8.467699,14.969498,17.33081,10.074447,25.798705,0.000196,Small
gemma2,10.697,14.437793,75.438125,2.671857,86.136539,0.000208,Small
Llama-3.2-1B_Q8_0,8.472614,14.963378,17.161117,10.41902,25.633927,0.000195,Small
phi-3-Q4_K_M,9.206338,14.788456,79.183272,2.40495,88.389814,0.000201,Small
